agegroup,lockdown_index,home_office_index,weights
15-19,.52053618,.32587069,34989.32039272785
20-24,.47774801,.37340328,245883.3692704439
25-29,.57099271,.31310591,428087.7017285824
30-24,.58292592,.29916984,453216.1241085529
35-39,.5665645,.30348304,436252.8628439903
40-44,.5679431,.29310417,430711.3569818735
45-49,.5736357,.29756877,475043.4634802938
50-54,.56112689,.29690927,510390.1456911564
55-59,.55566067,.30023092,424236.7239534855
60-65,.54156637,.31039223,245104.1870619059
Ãœber 65,.51904327,.29600793,84336.37241238356
