inc_class,lockdown_index,home_office_index,weights
Bis 13'000,.32174784,.49207154,118150.0488044024
13'001 - 26'000,.35003841,.46657211,165740.2352567911
26'001 - 39'000,.33163202,.49974546,220270.0395681858
39'001 - 52'000,.33088174,.49487963,364853.8975903988
52'001 - 65'000,.34756553,.46072161,550579.2998862267
65'001 - 78'000,.35689974,.48487639,569441.1252779961
78'001 - 91'000,.32490465,.55231619,448836.248998642
91'001 - 104'000,.28254446,.63186461,324308.0167753696
104'001 - 130'000,.2383717,.71145749,370743.4266867638
Ãœber 130'000,.18234122,.80377585,404073.3527619839
